DATE,SYMBOL,OPEN,HIGH,LOW,CLOSE,VOLUME,PRICE_CHANGE,PRICE_CHANGE_PCT,CREATED_AT
2025-10-28,AAPL,268.985,269.89,268.15,269,41534759,0.19,0.07,2026-01-11 11:54:14.669
2025-10-29,AAPL,269.275,271.41,267.11,269.7,51086742,0.7,0.26,2026-01-11 11:54:14.669
2025-10-29,AAPL,269.275,271.41,267.11,269.7,51086742,0.7,0.26,2026-01-11 11:52:30.837
2025-10-30,AAPL,271.99,274.14,268.48,271.4,69886534,1.7,0.63,2026-01-11 11:54:14.669
2025-10-30,AAPL,271.99,274.14,268.48,271.4,69886534,1.7,0.63,2026-01-11 11:52:30.837
2025-10-31,AAPL,276.99,277.32,269.16,270.37,86167123,-1.03,-0.38,2026-01-11 11:54:14.669
2025-10-31,AAPL,276.99,277.32,269.16,270.37,86167123,-1.03,-0.38,2026-01-11 11:52:30.837
2025-11-03,AAPL,270.42,270.85,266.25,269.05,50194583,-1.32,-0.49,2026-01-11 11:54:14.669
2025-11-03,AAPL,270.42,270.85,266.25,269.05,50194583,-1.32,-0.49,2026-01-11 11:52:30.837
2025-11-04,AAPL,268.325,271.486,267.615,270.04,49274846,0.99,0.37,2026-01-11 11:52:30.837
2025-11-04,AAPL,268.325,271.486,267.615,270.04,49274846,0.99,0.37,2026-01-11 11:54:14.669
2025-11-05,AAPL,268.61,271.7,266.93,270.14,42586288,0.1,0.04,2026-01-11 11:54:14.669
2025-11-05,AAPL,268.61,271.7,266.93,270.14,42586288,0.1,0.04,2026-01-11 11:52:30.837
2025-11-06,AAPL,267.89,273.4,267.89,269.77,51204045,-0.37,-0.14,2026-01-11 11:54:14.669
2025-11-06,AAPL,267.89,273.4,267.89,269.77,51204045,-0.37,-0.14,2026-01-11 11:52:30.837
2025-11-07,AAPL,269.795,272.29,266.77,268.47,48227365,-1.3,-0.48,2026-01-11 11:52:30.837
2025-11-07,AAPL,269.795,272.29,266.77,268.47,48227365,-1.3,-0.48,2026-01-11 11:54:14.669
2025-11-10,AAPL,268.96,273.73,267.455,269.43,41312412,0.96,0.36,2026-01-11 11:52:30.837
2025-11-10,AAPL,268.96,273.73,267.455,269.43,41312412,0.96,0.36,2026-01-11 11:54:14.669
2025-11-11,AAPL,269.81,275.91,269.8,275.25,46208318,5.82,2.16,2026-01-11 11:52:30.837
2025-11-11,AAPL,269.81,275.91,269.8,275.25,46208318,5.82,2.16,2026-01-11 11:54:14.669
2025-11-12,AAPL,275,275.73,271.7,273.47,48397982,-1.78,-0.65,2026-01-11 11:52:30.837
2025-11-12,AAPL,275,275.73,271.7,273.47,48397982,-1.78,-0.65,2026-01-11 11:54:14.669
2025-11-13,AAPL,274.11,276.699,272.09,272.95,49602794,-0.52,-0.19,2026-01-11 11:54:14.669
2025-11-13,AAPL,274.11,276.699,272.09,272.95,49602794,-0.52,-0.19,2026-01-11 11:52:30.837
2025-11-14,AAPL,271.05,275.96,269.6,272.41,47431331,-0.54,-0.2,2026-01-11 11:52:30.837
2025-11-14,AAPL,271.05,275.96,269.6,272.41,47431331,-0.54,-0.2,2026-01-11 11:54:14.669
2025-11-17,AAPL,268.815,270.49,265.73,267.46,45018260,-4.95,-1.82,2026-01-11 11:52:30.837
2025-11-17,AAPL,268.815,270.49,265.73,267.46,45018260,-4.95,-1.82,2026-01-11 11:54:14.669
2025-11-18,AAPL,269.99,270.71,265.32,267.44,45677278,-0.02,-0.01,2026-01-11 11:52:30.837
2025-11-18,AAPL,269.99,270.71,265.32,267.44,45677278,-0.02,-0.01,2026-01-11 11:54:14.669
2025-11-19,AAPL,265.525,272.21,265.5,268.56,40424492,1.12,0.42,2026-01-11 11:52:30.837
2025-11-19,AAPL,265.525,272.21,265.5,268.56,40424492,1.12,0.42,2026-01-11 11:54:14.669
2025-11-20,AAPL,270.83,275.43,265.92,266.25,45823568,-2.31,-0.86,2026-01-11 11:52:30.837
2025-11-20,AAPL,270.83,275.43,265.92,266.25,45823568,-2.31,-0.86,2026-01-11 11:54:14.669
2025-11-21,AAPL,265.95,273.33,265.67,271.49,59030832,5.24,1.97,2026-01-11 11:54:14.669
2025-11-21,AAPL,265.95,273.33,265.67,271.49,59030832,5.24,1.97,2026-01-11 11:52:30.837
2025-11-24,AAPL,270.9,277,270.9,275.92,65585796,4.43,1.63,2026-01-11 11:54:14.669
2025-11-24,AAPL,270.9,277,270.9,275.92,65585796,4.43,1.63,2026-01-11 11:52:30.837
2025-11-25,AAPL,275.27,280.38,275.25,276.97,46914220,1.05,0.38,2026-01-11 11:54:14.669
2025-11-25,AAPL,275.27,280.38,275.25,276.97,46914220,1.05,0.38,2026-01-11 11:52:30.837
2025-11-26,AAPL,276.96,279.53,276.63,277.55,33431423,0.58,0.21,2026-01-11 11:54:14.669
2025-11-26,AAPL,276.96,279.53,276.63,277.55,33431423,0.58,0.21,2026-01-11 11:52:30.837
2025-11-28,AAPL,277.26,279,275.9865,278.85,20135620,1.3,0.47,2026-01-11 11:52:30.837
2025-11-28,AAPL,277.26,279,275.9865,278.85,20135620,1.3,0.47,2026-01-11 11:54:14.669
2025-12-01,AAPL,278.01,283.42,276.14,283.1,46587722,4.25,1.52,2026-01-11 11:54:14.669
2025-12-01,AAPL,278.01,283.42,276.14,283.1,46587722,4.25,1.52,2026-01-11 11:52:30.837
2025-12-02,AAPL,283,287.4,282.6301,286.19,53669532,3.09,1.09,2026-01-11 11:54:14.669
2025-12-02,AAPL,283,287.4,282.6301,286.19,53669532,3.09,1.09,2026-01-11 11:52:30.837
